Run tabu parameter tuning
START FOR bqp250.1
Size shrunk from 250 to 250
Warning: Given tenure ratio leads to small tabu tenure of 3.Minimum tabu_tenure 5 set instead
0 | 1 | 1 | Search | -42198 | -42198 | Global Improvement.
0 | 16 | 16 | Search | -44333 | -44333 | Global Improvement.
0 | 17 | 17 | Search | -44403 | -44403 | Global Improvement.
0 | 18 | 18 | Search | -44517 | -44517 | Global Improvement.
0 | 19 | 19 | Search | -44560 | -44560 | Global Improvement.
0 | 20 | 20 | Search | -44596 | -44596 | Global Improvement.
0 | 21 | 21 | Search | -44625 | -44625 | Global Improvement.
0 | 22 | 22 | Search | -44745 | -44745 | Global Improvement.
0 | 23 | 23 | Search | -44851 | -44851 | Global Improvement.
0 | 24 | 24 | Search | -44909 | -44909 | Global Improvement.
0 | 25 | 25 | Search | -44951 | -44951 | Global Improvement.
0 | 26 | 26 | Search | -45149 | -45149 | Global Improvement.
0 | 27 | 27 | Search | -45165 | -45165 | Global Improvement.
0 | 28 | 28 | Search | -45199 | -45199 | Global Improvement.
0 | 29 | 29 | Search | -45211 | -45211 | Global Improvement.
0 | 30 | 30 | Search | -45231 | -45231 | Global Improvement.
0 | 31 | 31 | Search | -45317 | -45317 | Global Improvement.
0 | 32 | 32 | Search | -45397 | -45397 | Global Improvement.
0 | 33 | 33 | Search | -45399 | -45399 | Global Improvement.
0 | 42 | 42 | Search | -45404 | -45404 | Global Improvement.
2 | 297 | 5 | Diversification | -45413 | -45413 | Global Improvement.
2 | 298 | 1 | Search | -45461 | -45461 | Global Improvement.
2 | 299 | 2 | Search | -45473 | -45473 | Global Improvement.
2 | 302 | 5 | Search | -45474 | -45474 | Global Improvement.
2 | 304 | 7 | Search | -45543 | -45543 | Global Improvement.
2 | 305 | 8 | Search | -45579 | -45579 | Global Improvement.
6 | 843 | 12 | Search | -45607 | -45607 | Global Improvement.

 Optimization finished in 0.140034708s. 
 Objective of best solution found: -45607Warning: Given tenure ratio leads to small tabu tenure of 3.Minimum tabu_tenure 5 set instead
0 | 1 | 1 | Search | -42198 | -42198 | Global Improvement.
0 | 2 | 2 | Search | -42484 | -42484 | Global Improvement.
0 | 3 | 3 | Search | -42710 | -42710 | Global Improvement.
0 | 4 | 4 | Search | -42902 | -42902 | Global Improvement.
0 | 5 | 5 | Search | -43080 | -43080 | Global Improvement.
0 | 6 | 6 | Search | -43300 | -43300 | Global Improvement.
0 | 7 | 7 | Search | -43450 | -43450 | Global Improvement.
0 | 8 | 8 | Search | -43596 | -43596 | Global Improvement.
0 | 9 | 9 | Search | -43704 | -43704 | Global Improvement.
0 | 10 | 10 | Search | -43800 | -43800 | Global Improvement.
0 | 11 | 11 | Search | -43874 | -43874 | Global Improvement.
0 | 12 | 12 | Search | -44036 | -44036 | Global Improvement.
0 | 13 | 13 | Search | -44168 | -44168 | Global Improvement.
0 | 14 | 14 | Search | -44240 | -44240 | Global Improvement.
0 | 15 | 15 | Search | -44288 | -44288 | Global Improvement.
0 | 16 | 16 | Search | -44333 | -44333 | Global Improvement.
0 | 17 | 17 | Search | -44403 | -44403 | Global Improvement.
0 | 18 | 18 | Search | -44517 | -44517 | Global Improvement.
0 | 19 | 19 | Search | -44560 | -44560 | Global Improvement.
0 | 20 | 20 | Search | -44596 | -44596 | Global Improvement.
0 | 21 | 21 | Search | -44625 | -44625 | Global Improvement.
0 | 22 | 22 | Search | -44745 | -44745 | Global Improvement.
0 | 23 | 23 | Search | -44851 | -44851 | Global Improvement.
0 | 24 | 24 | Search | -44909 | -44909 | Global Improvement.
0 | 25 | 25 | Search | -44951 | -44951 | Global Improvement.
0 | 26 | 26 | Search | -45149 | -45149 | Global Improvement.
0 | 27 | 27 | Search | -45165 | -45165 | Global Improvement.
0 | 28 | 28 | Search | -45199 | -45199 | Global Improvement.
0 | 29 | 29 | Search | -45211 | -45211 | Global Improvement.
0 | 30 | 30 | Search | -45231 | -45231 | Global Improvement.
0 | 31 | 31 | Search | -45317 | -45317 | Global Improvement.
0 | 32 | 32 | Search | -45397 | -45397 | Global Improvement.
0 | 33 | 33 | Search | -45399 | -45399 | Global Improvement.
0 | 42 | 42 | Search | -45404 | -45404 | Global Improvement.
9 | 1295 | 3 | Diversification | -45413 | -45413 | Global Improvement.
9 | 1296 | 1 | Search | -45461 | -45461 | Global Improvement.
9 | 1297 | 2 | Search | -45473 | -45473 | Global Improvement.
9 | 1299 | 4 | Search | -45498 | -45498 | Global Improvement.
9 | 1302 | 7 | Search | -45537 | -45537 | Global Improvement.
9 | 1303 | 8 | Search | -45543 | -45543 | Global Improvement.
9 | 1305 | 10 | Search | -45549 | -45549 | Global Improvement.
9 | 1306 | 11 | Search | -45607 | -45607 | Global Improvement.

 Optimization finished in 1.757211101s. 
 Objective of best solution found: -45607Warning: Given tenure ratio leads to small tabu tenure of 3.Minimum tabu_tenure 5 set instead
0 | 1 | 1 | Search | -42198 | -42198 | Global Improvement.
0 | 2 | 2 | Search | -42484 | -42484 | Global Improvement.
0 | 3 | 3 | Search | -42710 | -42710 | Global Improvement.
0 | 4 | 4 | Search | -42902 | -42902 | Global Improvement.
0 | 5 | 5 | Search | -43080 | -43080 | Global Improvement.
0 | 6 | 6 | Search | -43300 | -43300 | Global Improvement.
0 | 7 | 7 | Search | -43450 | -43450 | Global Improvement.
0 | 8 | 8 | Search | -43596 | -43596 | Global Improvement.
0 | 9 | 9 | Search | -43704 | -43704 | Global Improvement.
0 | 10 | 10 | Search | -43800 | -43800 | Global Improvement.
0 | 11 | 11 | Search | -43874 | -43874 | Global Improvement.
0 | 12 | 12 | Search | -44036 | -44036 | Global Improvement.
0 | 13 | 13 | Search | -44168 | -44168 | Global Improvement.
0 | 14 | 14 | Search | -44240 | -44240 | Global Improvement.
0 | 15 | 15 | Search | -44288 | -44288 | Global Improvement.
0 | 16 | 16 | Search | -44333 | -44333 | Global Improvement.
0 | 17 | 17 | Search | -44403 | -44403 | Global Improvement.
0 | 18 | 18 | Search | -44517 | -44517 | Global Improvement.
0 | 19 | 19 | Search | -44560 | -44560 | Global Improvement.
0 | 20 | 20 | Search | -44596 | -44596 | Global Improvement.
0 | 21 | 21 | Search | -44625 | -44625 | Global Improvement.
0 | 22 | 22 | Search | -44745 | -44745 | Global Improvement.
0 | 23 | 23 | Search | -44851 | -44851 | Global Improvement.
0 | 24 | 24 | Search | -44909 | -44909 | Global Improvement.
0 | 25 | 25 | Search | -44951 | -44951 | Global Improvement.
0 | 26 | 26 | Search | -45149 | -45149 | Global Improvement.
0 | 27 | 27 | Search | -45165 | -45165 | Global Improvement.
0 | 28 | 28 | Search | -45199 | -45199 | Global Improvement.
0 | 29 | 29 | Search | -45211 | -45211 | Global Improvement.
0 | 30 | 30 | Search | -45231 | -45231 | Global Improvement.
0 | 31 | 31 | Search | -45317 | -45317 | Global Improvement.
0 | 32 | 32 | Search | -45397 | -45397 | Global Improvement.
0 | 33 | 33 | Search | -45399 | -45399 | Global Improvement.
0 | 42 | 42 | Search | -45404 | -45404 | Global Improvement.
8 | 1295 | 3 | Diversification | -45413 | -45413 | Global Improvement.
8 | 1296 | 1 | Search | -45461 | -45461 | Global Improvement.
8 | 1297 | 2 | Search | -45473 | -45473 | Global Improvement.
8 | 1300 | 5 | Search | -45474 | -45474 | Global Improvement.
8 | 1302 | 7 | Search | -45543 | -45543 | Global Improvement.
8 | 1303 | 8 | Search | -45579 | -45579 | Global Improvement.
17 | 2578 | 12 | Search | -45607 | -45607 | Global Improvement.

 Optimization finished in 0.636938852s. 
 Objective of best solution found: -45607Warning: Given tenure ratio leads to small tabu tenure of 3.Minimum tabu_tenure 5 set instead
0 | 1 | 1 | Search | -42198 | -42198 | Global Improvement.
0 | 2 | 2 | Search | -42484 | -42484 | Global Improvement.
0 | 3 | 3 | Search | -42710 | -42710 | Global Improvement.
0 | 4 | 4 | Search | -42902 | -42902 | Global Improvement.
0 | 5 | 5 | Search | -43080 | -43080 | Global Improvement.
0 | 6 | 6 | Search | -43300 | -43300 | Global Improvement.
0 | 7 | 7 | Search | -43450 | -43450 | Global Improvement.
0 | 8 | 8 | Search | -43596 | -43596 | Global Improvement.
0 | 9 | 9 | Search | -43704 | -43704 | Global Improvement.
0 | 10 | 10 | Search | -43800 | -43800 | Global Improvement.
0 | 11 | 11 | Search | -43874 | -43874 | Global Improvement.
0 | 12 | 12 | Search | -44036 | -44036 | Global Improvement.
0 | 13 | 13 | Search | -44168 | -44168 | Global Improvement.
0 | 14 | 14 | Search | -44240 | -44240 | Global Improvement.
0 | 15 | 15 | Search | -44288 | -44288 | Global Improvement.
0 | 16 | 16 | Search | -44333 | -44333 | Global Improvement.
0 | 17 | 17 | Search | -44403 | -44403 | Global Improvement.
0 | 18 | 18 | Search | -44517 | -44517 | Global Improvement.
0 | 19 | 19 | Search | -44560 | -44560 | Global Improvement.
0 | 20 | 20 | Search | -44596 | -44596 | Global Improvement.
0 | 21 | 21 | Search | -44625 | -44625 | Global Improvement.
0 | 22 | 22 | Search | -44745 | -44745 | Global Improvement.
0 | 23 | 23 | Search | -44851 | -44851 | Global Improvement.
0 | 24 | 24 | Search | -44909 | -44909 | Global Improvement.
0 | 25 | 25 | Search | -44951 | -44951 | Global Improvement.
0 | 26 | 26 | Search | -45149 | -45149 | Global Improvement.
0 | 27 | 27 | Search | -45165 | -45165 | Global Improvement.
0 | 28 | 28 | Search | -45199 | -45199 | Global Improvement.
0 | 29 | 29 | Search | -45211 | -45211 | Global Improvement.
0 | 30 | 30 | Search | -45231 | -45231 | Global Improvement.
0 | 31 | 31 | Search | -45317 | -45317 | Global Improvement.
0 | 32 | 32 | Search | -45397 | -45397 | Global Improvement.
0 | 33 | 33 | Search | -45399 | -45399 | Global Improvement.
0 | 42 | 42 | Search | -45404 | -45404 | Global Improvement.
17 | 2545 | 3 | Diversification | -45413 | -45413 | Global Improvement.
17 | 2546 | 1 | Search | -45461 | -45461 | Global Improvement.
17 | 2547 | 2 | Search | -45473 | -45473 | Global Improvement.
17 | 2549 | 4 | Search | -45498 | -45498 | Global Improvement.
17 | 2552 | 7 | Search | -45537 | -45537 | Global Improvement.
17 | 2553 | 8 | Search | -45543 | -45543 | Global Improvement.
17 | 2555 | 10 | Search | -45549 | -45549 | Global Improvement.
17 | 2556 | 11 | Search | -45607 | -45607 | Global Improvement.

 Optimization finished in 3.536652454s. 
 Objective of best solution found: -45607Warning: Given tenure ratio leads to small tabu tenure of 3.Minimum tabu_tenure 5 set instead
0 | 1 | 1 | Search | -42198 | -42198 | Global Improvement.
0 | 2 | 2 | Search | -42484 | -42484 | Global Improvement.
0 | 3 | 3 | Search | -42710 | -42710 | Global Improvement.
0 | 4 | 4 | Search | -42902 | -42902 | Global Improvement.
0 | 5 | 5 | Search | -43080 | -43080 | Global Improvement.
0 | 6 | 6 | Search | -43300 | -43300 | Global Improvement.
0 | 7 | 7 | Search | -43450 | -43450 | Global Improvement.
0 | 8 | 8 | Search | -43596 | -43596 | Global Improvement.
0 | 9 | 9 | Search | -43704 | -43704 | Global Improvement.
0 | 10 | 10 | Search | -43800 | -43800 | Global Improvement.
0 | 11 | 11 | Search | -43874 | -43874 | Global Improvement.
0 | 12 | 12 | Search | -44036 | -44036 | Global Improvement.
0 | 13 | 13 | Search | -44168 | -44168 | Global Improvement.
0 | 14 | 14 | Search | -44240 | -44240 | Global Improvement.
0 | 15 | 15 | Search | -44288 | -44288 | Global Improvement.
0 | 16 | 16 | Search | -44333 | -44333 | Global Improvement.
0 | 17 | 17 | Search | -44403 | -44403 | Global Improvement.
0 | 18 | 18 | Search | -44517 | -44517 | Global Improvement.
0 | 19 | 19 | Search | -44560 | -44560 | Global Improvement.
0 | 20 | 20 | Search | -44596 | -44596 | Global Improvement.
0 | 21 | 21 | Search | -44625 | -44625 | Global Improvement.
0 | 22 | 22 | Search | -44745 | -44745 | Global Improvement.
0 | 23 | 23 | Search | -44851 | -44851 | Global Improvement.
0 | 24 | 24 | Search | -44909 | -44909 | Global Improvement.
0 | 25 | 25 | Search | -44951 | -44951 | Global Improvement.
0 | 26 | 26 | Search | -45149 | -45149 | Global Improvement.
0 | 27 | 27 | Search | -45165 | -45165 | Global Improvement.
0 | 28 | 28 | Search | -45199 | -45199 | Global Improvement.
0 | 29 | 29 | Search | -45211 | -45211 | Global Improvement.
0 | 30 | 30 | Search | -45231 | -45231 | Global Improvement.
0 | 31 | 31 | Search | -45317 | -45317 | Global Improvement.
0 | 32 | 32 | Search | -45397 | -45397 | Global Improvement.
0 | 33 | 33 | Search | -45399 | -45399 | Global Improvement.
0 | 42 | 42 | Search | -45404 | -45404 | Global Improvement.
17 | 2545 | 3 | Diversification | -45413 | -45413 | Global Improvement.
17 | 2546 | 1 | Search | -45461 | -45461 | Global Improvement.
17 | 2547 | 2 | Search | -45473 | -45473 | Global Improvement.
17 | 2550 | 5 | Search | -45474 | -45474 | Global Improvement.
17 | 2552 | 7 | Search | -45543 | -45543 | Global Improvement.
17 | 2553 | 8 | Search | -45579 | -45579 | Global Improvement.
36 | 5078 | 12 | Search | -45607 | -45607 | Global Improvement.

 Optimization finished in 1.262637098s. 
 Objective of best solution found: -45607Warning: Given tenure ratio leads to small tabu tenure of 3.Minimum tabu_tenure 5 set instead
0 | 1 | 1 | Search | -42198 | -42198 | Global Improvement.
0 | 2 | 2 | Search | -42484 | -42484 | Global Improvement.
0 | 3 | 3 | Search | -42710 | -42710 | Global Improvement.
0 | 4 | 4 | Search | -42902 | -42902 | Global Improvement.
0 | 5 | 5 | Search | -43080 | -43080 | Global Improvement.
0 | 6 | 6 | Search | -43300 | -43300 | Global Improvement.
0 | 7 | 7 | Search | -43450 | -43450 | Global Improvement.
0 | 8 | 8 | Search | -43596 | -43596 | Global Improvement.
0 | 9 | 9 | Search | -43704 | -43704 | Global Improvement.
0 | 10 | 10 | Search | -43800 | -43800 | Global Improvement.
0 | 11 | 11 | Search | -43874 | -43874 | Global Improvement.
0 | 12 | 12 | Search | -44036 | -44036 | Global Improvement.
0 | 13 | 13 | Search | -44168 | -44168 | Global Improvement.
0 | 14 | 14 | Search | -44240 | -44240 | Global Improvement.
0 | 15 | 15 | Search | -44288 | -44288 | Global Improvement.
0 | 16 | 16 | Search | -44333 | -44333 | Global Improvement.
0 | 17 | 17 | Search | -44403 | -44403 | Global Improvement.
0 | 18 | 18 | Search | -44517 | -44517 | Global Improvement.
0 | 19 | 19 | Search | -44560 | -44560 | Global Improvement.
0 | 20 | 20 | Search | -44596 | -44596 | Global Improvement.
0 | 21 | 21 | Search | -44625 | -44625 | Global Improvement.
0 | 22 | 22 | Search | -44745 | -44745 | Global Improvement.
0 | 23 | 23 | Search | -44851 | -44851 | Global Improvement.
0 | 24 | 24 | Search | -44909 | -44909 | Global Improvement.
0 | 25 | 25 | Search | -44951 | -44951 | Global Improvement.
0 | 26 | 26 | Search | -45149 | -45149 | Global Improvement.
0 | 27 | 27 | Search | -45165 | -45165 | Global Improvement.
0 | 28 | 28 | Search | -45199 | -45199 | Global Improvement.
0 | 29 | 29 | Search | -45211 | -45211 | Global Improvement.
0 | 30 | 30 | Search | -45231 | -45231 | Global Improvement.
0 | 31 | 31 | Search | -45317 | -45317 | Global Improvement.
0 | 32 | 32 | Search | -45397 | -45397 | Global Improvement.
0 | 33 | 33 | Search | -45399 | -45399 | Global Improvement.
0 | 42 | 42 | Search | -45404 | -45404 | Global Improvement.
2 | 309 | 4 | Search | -45438 | -45438 | Global Improvement.
2 | 310 | 5 | Search | -45486 | -45486 | Global Improvement.
2 | 311 | 6 | Search | -45498 | -45498 | Global Improvement.
2 | 314 | 9 | Search | -45537 | -45537 | Global Improvement.
2 | 315 | 10 | Search | -45543 | -45543 | Global Improvement.
2 | 317 | 12 | Search | -45549 | -45549 | Global Improvement.
2 | 318 | 13 | Search | -45607 | -45607 | Global Improvement.

 Optimization finished in 0.389332006s. 
 Objective of best solution found: -45607Warning: Given tenure ratio leads to small tabu tenure of 3.Minimum tabu_tenure 5 set instead
0 | 1 | 1 | Search | -42198 | -42198 | Global Improvement.
0 | 2 | 2 | Search | -42484 | -42484 | Global Improvement.
0 | 3 | 3 | Search | -42710 | -42710 | Global Improvement.
0 | 4 | 4 | Search | -42902 | -42902 | Global Improvement.
0 | 5 | 5 | Search | -43080 | -43080 | Global Improvement.
0 | 6 | 6 | Search | -43300 | -43300 | Global Improvement.
0 | 7 | 7 | Search | -43450 | -43450 | Global Improvement.
0 | 8 | 8 | Search | -43596 | -43596 | Global Improvement.
0 | 9 | 9 | Search | -43704 | -43704 | Global Improvement.
0 | 10 | 10 | Search | -43800 | -43800 | Global Improvement.
0 | 11 | 11 | Search | -43874 | -43874 | Global Improvement.
0 | 12 | 12 | Search | -44036 | -44036 | Global Improvement.
0 | 13 | 13 | Search | -44168 | -44168 | Global Improvement.
0 | 14 | 14 | Search | -44240 | -44240 | Global Improvement.
0 | 15 | 15 | Search | -44288 | -44288 | Global Improvement.
0 | 16 | 16 | Search | -44333 | -44333 | Global Improvement.
0 | 17 | 17 | Search | -44403 | -44403 | Global Improvement.
0 | 18 | 18 | Search | -44517 | -44517 | Global Improvement.
0 | 19 | 19 | Search | -44560 | -44560 | Global Improvement.
0 | 20 | 20 | Search | -44596 | -44596 | Global Improvement.
0 | 21 | 21 | Search | -44625 | -44625 | Global Improvement.
0 | 22 | 22 | Search | -44745 | -44745 | Global Improvement.
0 | 23 | 23 | Search | -44851 | -44851 | Global Improvement.
0 | 24 | 24 | Search | -44909 | -44909 | Global Improvement.
0 | 25 | 25 | Search | -44951 | -44951 | Global Improvement.
0 | 26 | 26 | Search | -45149 | -45149 | Global Improvement.
0 | 27 | 27 | Search | -45165 | -45165 | Global Improvement.
0 | 28 | 28 | Search | -45199 | -45199 | Global Improvement.
0 | 29 | 29 | Search | -45211 | -45211 | Global Improvement.
0 | 30 | 30 | Search | -45231 | -45231 | Global Improvement.
0 | 31 | 31 | Search | -45317 | -45317 | Global Improvement.
0 | 32 | 32 | Search | -45397 | -45397 | Global Improvement.
0 | 33 | 33 | Search | -45399 | -45399 | Global Improvement.
0 | 42 | 42 | Search | -45404 | -45404 | Global Improvement.
2 | 309 | 4 | Search | -45438 | -45438 | Global Improvement.
2 | 310 | 5 | Search | -45486 | -45486 | Global Improvement.
2 | 311 | 6 | Search | -45498 | -45498 | Global Improvement.
2 | 315 | 10 | Search | -45565 | -45565 | Global Improvement.
2 | 316 | 11 | Search | -45573 | -45573 | Global Improvement.
2 | 317 | 12 | Search | -45579 | -45579 | Global Improvement.

 Optimization finished in 0.132638833s. 
 Objective of best solution found: -45579Warning: Given tenure ratio leads to small tabu tenure of 3.Minimum tabu_tenure 5 set instead
0 | 1 | 1 | Search | -42198 | -42198 | Global Improvement.
0 | 2 | 2 | Search | -42484 | -42484 | Global Improvement.
0 | 3 | 3 | Search | -42710 | -42710 | Global Improvement.
0 | 4 | 4 | Search | -42902 | -42902 | Global Improvement.
0 | 5 | 5 | Search | -43080 | -43080 | Global Improvement.
0 | 6 | 6 | Search | -43300 | -43300 | Global Improvement.
0 | 7 | 7 | Search | -43450 | -43450 | Global Improvement.
0 | 8 | 8 | Search | -43596 | -43596 | Global Improvement.
0 | 9 | 9 | Search | -43704 | -43704 | Global Improvement.
0 | 10 | 10 | Search | -43800 | -43800 | Global Improvement.
0 | 11 | 11 | Search | -43874 | -43874 | Global Improvement.
0 | 12 | 12 | Search | -44036 | -44036 | Global Improvement.
0 | 13 | 13 | Search | -44168 | -44168 | Global Improvement.
0 | 14 | 14 | Search | -44240 | -44240 | Global Improvement.
0 | 15 | 15 | Search | -44288 | -44288 | Global Improvement.
0 | 16 | 16 | Search | -44333 | -44333 | Global Improvement.
0 | 17 | 17 | Search | -44403 | -44403 | Global Improvement.
0 | 18 | 18 | Search | -44517 | -44517 | Global Improvement.
0 | 19 | 19 | Search | -44560 | -44560 | Global Improvement.
0 | 20 | 20 | Search | -44596 | -44596 | Global Improvement.
0 | 21 | 21 | Search | -44625 | -44625 | Global Improvement.
0 | 22 | 22 | Search | -44745 | -44745 | Global Improvement.
0 | 23 | 23 | Search | -44851 | -44851 | Global Improvement.
0 | 24 | 24 | Search | -44909 | -44909 | Global Improvement.
0 | 25 | 25 | Search | -44951 | -44951 | Global Improvement.
0 | 26 | 26 | Search | -45149 | -45149 | Global Improvement.
0 | 27 | 27 | Search | -45165 | -45165 | Global Improvement.
0 | 28 | 28 | Search | -45199 | -45199 | Global Improvement.
0 | 29 | 29 | Search | -45211 | -45211 | Global Improvement.
0 | 30 | 30 | Search | -45231 | -45231 | Global Improvement.
0 | 31 | 31 | Search | -45317 | -45317 | Global Improvement.
0 | 32 | 32 | Search | -45397 | -45397 | Global Improvement.
0 | 33 | 33 | Search | -45399 | -45399 | Global Improvement.
0 | 42 | 42 | Search | -45404 | -45404 | Global Improvement.
9 | 1307 | 2 | Search | -45444 | -45444 | Global Improvement.
9 | 1308 | 3 | Search | -45461 | -45461 | Global Improvement.
9 | 1309 | 4 | Search | -45473 | -45473 | Global Improvement.
9 | 1311 | 6 | Search | -45498 | -45498 | Global Improvement.
10 | 1314 | 9 | Search | -45537 | -45537 | Global Improvement.
10 | 1315 | 10 | Search | -45543 | -45543 | Global Improvement.
10 | 1317 | 12 | Search | -45549 | -45549 | Global Improvement.
10 | 1318 | 13 | Search | -45607 | -45607 | Global Improvement.

 Optimization finished in 1.843936873s. 
 Objective of best solution found: -45607Warning: Given tenure ratio leads to small tabu tenure of 3.Minimum tabu_tenure 5 set instead
0 | 1 | 1 | Search | -42198 | -42198 | Global Improvement.
0 | 2 | 2 | Search | -42484 | -42484 | Global Improvement.
0 | 3 | 3 | Search | -42710 | -42710 | Global Improvement.
0 | 4 | 4 | Search | -42902 | -42902 | Global Improvement.
0 | 5 | 5 | Search | -43080 | -43080 | Global Improvement.
0 | 6 | 6 | Search | -43300 | -43300 | Global Improvement.
0 | 7 | 7 | Search | -43450 | -43450 | Global Improvement.
0 | 8 | 8 | Search | -43596 | -43596 | Global Improvement.
0 | 9 | 9 | Search | -43704 | -43704 | Global Improvement.
0 | 10 | 10 | Search | -43800 | -43800 | Global Improvement.
0 | 11 | 11 | Search | -43874 | -43874 | Global Improvement.
0 | 12 | 12 | Search | -44036 | -44036 | Global Improvement.
0 | 13 | 13 | Search | -44168 | -44168 | Global Improvement.
0 | 14 | 14 | Search | -44240 | -44240 | Global Improvement.
0 | 15 | 15 | Search | -44288 | -44288 | Global Improvement.
0 | 16 | 16 | Search | -44333 | -44333 | Global Improvement.
0 | 17 | 17 | Search | -44403 | -44403 | Global Improvement.
0 | 18 | 18 | Search | -44517 | -44517 | Global Improvement.
0 | 19 | 19 | Search | -44560 | -44560 | Global Improvement.
0 | 20 | 20 | Search | -44596 | -44596 | Global Improvement.
0 | 21 | 21 | Search | -44625 | -44625 | Global Improvement.
0 | 22 | 22 | Search | -44745 | -44745 | Global Improvement.
0 | 23 | 23 | Search | -44851 | -44851 | Global Improvement.
0 | 24 | 24 | Search | -44909 | -44909 | Global Improvement.
0 | 25 | 25 | Search | -44951 | -44951 | Global Improvement.
0 | 26 | 26 | Search | -45149 | -45149 | Global Improvement.
0 | 27 | 27 | Search | -45165 | -45165 | Global Improvement.
0 | 28 | 28 | Search | -45199 | -45199 | Global Improvement.
0 | 29 | 29 | Search | -45211 | -45211 | Global Improvement.
0 | 30 | 30 | Search | -45231 | -45231 | Global Improvement.
0 | 31 | 31 | Search | -45317 | -45317 | Global Improvement.
0 | 32 | 32 | Search | -45397 | -45397 | Global Improvement.
0 | 33 | 33 | Search | -45399 | -45399 | Global Improvement.
0 | 42 | 42 | Search | -45404 | -45404 | Global Improvement.
8 | 1307 | 2 | Search | -45444 | -45444 | Global Improvement.
